No.,Time,Source,Destination,Protocol,Length,Info
26404,69.22890100000001,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
57339,195.891094,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
63684,284.961098,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
63685,284.964089,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
63686,284.964423,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
63687,284.964423,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
63688,284.964424,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
63689,284.964424,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
63692,285.164562,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
63693,285.164563,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
63694,285.164563,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
63695,285.164563,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
63696,285.164563,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
63697,285.1645640000001,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
63706,285.366938,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
63707,285.366938,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
63708,285.366938,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
63709,285.366938,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
63710,285.366938,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
63711,285.366939,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
63712,285.567353,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
63713,285.567354,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
63714,285.567354,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
63715,285.567354,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
63716,285.569653,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
63717,285.569653,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
65108,320.290823,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
131130,445.512102,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
183994,570.345546,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
240314,692.856907,192.168.0.5,192.168.0.2,UDP,301,2870  >  56416 Len=259
240316,692.858996,192.168.0.5,192.168.0.2,TCP,66,"2870  >  3171 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=32"
240319,692.861002,192.168.0.5,192.168.0.2,TCP,54,2870  >  3171 [ACK] Seq=1 Ack=69 Win=5856 Len=0
240320,692.8628209999998,192.168.0.5,192.168.0.2,TCP,290,[TCP segment of a reassembled PDU]
240321,692.8628219999998,192.168.0.5,192.168.0.2,TCP,1514,[TCP segment of a reassembled PDU]
240322,692.8628219999998,192.168.0.5,192.168.0.2,HTTP/XML,587,HTTP/1.1 200 OK 
240326,692.8668650000002,192.168.0.5,192.168.0.2,TCP,54,2870  >  3171 [ACK] Seq=2231 Ack=70 Win=5856 Len=0
248635,713.6695,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
312007,863.953215,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
419515,1048.930852,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
466635,1155.033223,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
466636,1155.033226,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
